日期,股票代码,成交量,换手率,RSI,MACD_DIF,MACD_DEA,MACD_HIST,KDJ_K,KDJ_D,KDJ_J,MACD信号,RSI信号,KDJ信号
2023-04-26,600519,27892,0.22,47.43940734782078,-4.621267724922291,-4.803720224485066,0.18245249956277565,39.49320517935857,27.90138772536135,62.67684008735301,金叉,中性,中性
2023-04-27,600519,25605,0.2,50.48786730224839,-0.14566235999222954,-4.503200362259722,4.357538002267493,65.03000540669592,41.53141754208934,112.02718113590907,金叉,中性,超买
2023-04-28,600519,26225,0.21,51.05521146823959,2.6983443457268095,-4.038584574647688,6.736928920374497,74.1097200787499,59.54431022160147,103.24053979304678,金叉,中性,超买
2023-05-04,600519,27466,0.22,48.60527825387495,2.4769938006204484,-3.6182246794690984,6.095218480089547,71.52882744637816,70.22285097727466,74.14078038458516,金叉,中性,中性
2023-05-05,600519,20714,0.16,48.63027489036406,2.2212878184036526,-3.2414819376708564,5.462769756074509,59.96242021931883,68.53365591481564,42.81994882832521,金叉,中性,中性
2023-05-08,600519,33171,0.26,42.12565549495697,-2.519478342708908,-3.194901060576537,0.6754227178676291,37.40147878732284,56.29757548433995,-0.39071460671139846,金叉,中性,超卖
2023-05-09,600519,29378,0.23,42.54117444010726,-4.728412712848467,-3.293837296206984,-1.4345754166414828,24.20760947561708,40.52383616075293,-8.424843894654614,死叉,中性,超卖
2023-05-10,600519,20773,0.17,43.42782369507383,-5.19217008366104,-3.4163103792685363,-1.7758597043925035,16.741965683804327,26.11701798224809,-2.0081389130831937,死叉,中性,超卖
2023-05-11,600519,15246,0.12,41.6004403907176,-6.331966826306598,-3.604417246819379,-2.727549579487219,20.42215092441828,20.457242027946574,20.351968717361693,死叉,中性,中性
2023-05-12,600519,19460,0.15,39.209707249663516,-8.186585241913008,-3.900040988438323,-4.286544253474685,14.572026004662915,17.245380870961853,9.225316272065037,死叉,中性,超卖
2023-05-15,600519,25740,0.2,42.51092342976144,-7.202038605460984,-4.113073092762366,-3.0889655126986186,23.25833066752062,19.41750253220062,30.939986938160622,死叉,中性,中性
